"state","date","cases","deaths","cases_weekly_change","deaths_weekly_change"
"New Mexico","2020-12-25","136622","2309","0.071545124","0.085056424"
"New York","2020-12-25","909123","36739","0.09265256","0.026946187"
"North Carolina","2020-12-25","498005","6420","0.06367004","0.040181518"
"North Dakota","2020-12-25","91229","1271","0.018601418","0.03249395"
"Northern Mariana Islands","2020-12-25","118","2","0.026086926","0.0"
"Ohio","2020-12-25","653650","8456","0.07887602","0.06137824"
"Oklahoma","2020-12-25","272553","2328","0.08259058","0.07727909"
"Oregon","2020-12-25","107833","1431","0.07500827","0.095712066"
"Pennsylvania","2020-12-25","602605","14892","0.10688126","0.08987117"
"Puerto Rico","2020-12-25","105039","1432","0.053054214","0.07426858"
"Rhode Island","2020-12-25","82066","1704","0.054670215","0.048615336"
"South Carolina","2020-12-25","285028","5043","0.06721687","0.035098553"
"South Dakota","2020-12-25","96546","1430","0.029582381","0.07518792"
"Tennessee","2020-12-25","541267","6367","0.10394168","0.07970154"
"Texas","2020-12-25","1661619","27042","0.05789852","0.055998087"
"Utah","2020-12-25","260589","1205","0.05689037","0.057017565"
"Vermont","2020-12-25","6781","120","0.086176515","0.121495366"
"Virgin Islands","2020-12-25","1979","23","0.04157889","0.0"
"Virginia","2020-12-25","327993","4820","0.095544934","0.048281908"
"Washington","2020-12-25","237689","3268","0.058305264","0.031565666"
"West Virginia","2020-12-25","78836","1247","0.13024902","0.14298809"
"Wisconsin","2020-12-25","505345","5028","0.03902638","0.084789634"
"Wyoming","2020-12-25","42664","373","0.03155303","0.0626781"
"Alabama","2020-12-26","343458","4685","0.07362831","0.067441344"
"Alaska","2020-12-26","45247","192","0.040926695","0.084745765"
"Arizona","2020-12-26","493277","8424","0.09420884","0.058823586"
"Arkansas","2020-12-26","213969","3441","0.06923556","0.0783453"
"California","2020-12-26","2129749","24221","0.15306616","0.06931257"
"Colorado","2020-12-26","324869","4652","0.053572297","0.057272673"
"Connecticut","2020-12-26","172743","5791","0.061192274","0.037627697"
"Delaware","2020-12-26","54473","895","0.0865047","0.043123484"
"District of Columbia","2020-12-26","27710","762","0.051932335","0.04383564"
"Florida","2020-12-26","1264580","21134","0.059860468","0.03233683"
"Georgia","2020-12-26","607133","10352","0.0793879","0.02963996"
"Guam","2020-12-26","8238","122","0.008693576","0.01666665"
"Hawaii","2020-12-26","20970","283","0.043854833","0.014336944"
"Idaho","2020-12-26","135886","1357","0.050659537","0.060156226"
"Illinois","2020-12-26","935849","17225","0.044470787","0.055065513"
"Indiana","2020-12-26","494967","7801","0.07422638","0.063096166"
"Iowa","2020-12-26","274793","3744","0.029345274","0.059722662"
"Kansas","2020-12-26","213091","2507","0.046358943","0.07090986"
"Kentucky","2020-12-26","257453","2821","0.059272528","0.0697763"
"Louisiana","2020-12-26","296499","7272","0.049799204","0.03974831"
"Maine","2020-12-26","21547","319","0.14984787","0.09246576"
"Maryland","2020-12-26","265606","5680","0.06701648","0.04951954"
"Massachusetts","2020-12-26","349602","12010","0.0950042","0.030282259"
"Michigan","2020-12-26","515022","12680","0.040770173","0.05088675"
"Minnesota","2020-12-26","406604","5166","0.030175328","0.06757593"
"Mississippi","2020-12-26","205023","4565","0.06721115","0.039863348"
"Missouri","2020-12-26","402344","5642","0.046348453","0.07754016"
"Montana","2020-12-26","79521","919","0.03667152","0.0636574"
"Nebraska","2020-12-26","162272","1595","0.03732586","0.059800625"
"Nevada","2020-12-26","216329","2951","0.07006693","0.07153237"
"New Hampshire","2020-12-26","39933","701","0.12142992","0.07846153"
"New Jersey","2020-12-26","460846","18613","0.07341993","0.024211764"
"New Mexico","2020-12-26","137227","2318","0.06435275","0.075638056"
"New York","2020-12-26","920171","36870","0.09290981","0.027105331"
"North Carolina","2020-12-26","514724","6574","0.08662403","0.05657339"
"North Dakota","2020-12-26","91362","1271","0.017462134","0.027485847"
"Northern Mariana Islands","2020-12-26","122","2","0.060869575","0.0"
"Ohio","2020-12-26","664668","8476","0.081765294","0.055410266"
"Oklahoma","2020-12-26","276508","2357","0.08066654","0.07674742"
"Oregon","2020-12-26","108348","1431","0.064175844","0.06791043"
"Pennsylvania","2020-12-26","609682","14915","0.10165441","0.07542002"
"Puerto Rico","2020-12-26","106058","1432","0.051891327","0.06706405"
"Rhode Island","2020-12-26","82066","1704","0.054670215","0.048615336"
"South Carolina","2020-12-26","288892","5124","0.06784654","0.046782374"
"South Dakota","2020-12-26","96963","1446","0.02784729","0.07111108"
"Tennessee","2020-12-26","546245","6382","0.104647756","0.07206452"
"Texas","2020-12-26","1667352","27062","0.052584648","0.04725051"
"Utah","2020-12-26","264078","1212","0.06068206","0.055749178"
"Vermont","2020-12-26","6966","121","0.09821856","0.12037039"
"Virgin Islands","2020-12-26","1979","23","0.03612566","0.0"
"Virginia","2020-12-26","329577","4840","0.08781338","0.042429447"
"Washington","2020-12-26","240763","3283","0.06273198","0.03597355"
"West Virginia","2020-12-26","80177","1253","0.12584424","0.11675584"
"Wisconsin","2020-12-26","506022","5032","0.031268954","0.06519902"
"Wyoming","2020-12-26","43146","373","0.039963365","0.0626781"
"Alabama","2020-12-27","345628","4691","0.07187426","0.06880844"
"Alaska","2020-12-27","45547","192","0.043483257","0.09090912"
"Arizona","2020-12-27","494489","8427","0.09014094","0.057207346"
"Arkansas","2020-12-27","214877","3482","0.06559384","0.07568741"
"California","2020-12-27","2167303","24283","0.14677334","0.06804192"
"Colorado","2020-12-27","326276","4660","0.050733924","0.05429864"
"Connecticut","2020-12-27","172743","5791","0.061192274","0.037627697"
"Delaware","2020-12-27","55057","897","0.08773911","0.04060328"
"District of Columbia","2020-12-27","28202","768","0.06018567","0.0420624"
"Florida","2020-12-27","1271971","21211","0.05860138","0.031312346"
"Georgia","2020-12-27","610574","10356","0.075609446","0.02983296"
"Guam","2020-12-27","8239","122","0.00832212","0.01666665"
"Hawaii","2020-12-27","21064","283","0.038095713","0.0107142925"
"Idaho","2020-12-27","136281","1357","0.04800093","0.056853533"
"Illinois","2020-12-27","939671","17336","0.04185164","0.056622148"
"Indiana","2020-12-27","496795","7843","0.06321347","0.059292316"
"Iowa","2020-12-27","275299","3745","0.029813409","0.04346609"
"Kansas","2020-12-27","213173","2507","0.04663825","0.07090986"
"Kentucky","2020-12-27","258820","2845","0.057340384","0.067542195"
"Louisiana","2020-12-27","299722","7291","0.04744792","0.035359263"
"Maine","2020-12-27","21880","323","0.15486121","0.106164336"
"Maryland","2020-12-27","267455","5712","0.06526494","0.0484581"
"Massachusetts","2020-12-27","352736","12110","0.090269566","0.033540964"
"Michigan","2020-12-27","515114","12680","0.040585995","0.05088675"
"Minnesota","2020-12-27","409120","5206","0.029548645","0.0605011"
"Mississippi","2020-12-27","206388","4606","0.0620327","0.04468131"
"Missouri","2020-12-27","404201","5656","0.046450734","0.07487643"
"Montana","2020-12-27","79780","924","0.033821464","0.0682081"
"Nebraska","2020-12-27","162886","1595","0.036361694","0.052805305"
"Nevada","2020-12-27","217653","2965","0.065740585","0.06424987"
"New Hampshire","2020-12-27","40809","708","0.11676979","0.07926834"
"New Jersey","2020-12-27","463166","18630","0.06597471","0.023963928"
